,id,ra,dec,z_spec,z_phot,log_mass,log_sfr,is_mass_clumpy,is_UV_clumpy
296,3655,150.47108,1.7531792,-1.0,1.068,10.03,0.8757555792580545,True,True
297,3660,150.63326,1.7531883,-1.0,1.261,10.52,1.2359322539862951,False,False
298,3684,150.43613,1.7528968,-1.0,1.523,10.41,1.8548220292952864,False,True
299,3693,150.48097,1.7537529,-1.0,1.377,9.99,1.2338587625648278,False,False
300,3699,150.58551,1.7534075,-1.0,1.353,10.46,0.3573630306151428,True,True
301,3711,150.66731,1.7543881,-1.0,1.109,10.51,1.4909412053567868,False,False
302,3719,150.5043,1.753021,-1.0,0.549,10.56,1.2605006977390882,False,False
303,3736,150.416,1.755428,-1.0,0.781,9.97,0.7019132112123438,False,False
304,3737,150.39674,1.7548413,-1.0,1.307,10.14,0.9275756546911106,False,False
305,3743,150.50867,1.7547427,-1.0,1.261,10.96,2.360078164276509,True,True
306,3745,150.4453,1.7547945,-1.0,0.948,10.16,1.3018110230174766,False,False
307,3761,150.43979,1.7554431,-1.0,0.928,10.13,-0.2856702402547669,True,True
308,3776,150.61514,1.7557654,-1.0,1.109,10.15,1.4374175817668182,False,True
309,3801,150.65375,1.7565498,-1.0,1.377,10.14,1.465427468452574,False,True
310,3821,150.65106,1.7567824,-1.0,1.261,10.28,1.3284407673684075,False,True
311,3832,150.42412,1.7543442,-1.0,1.007,10.78,-0.1146387799684879,False,True
312,3841,150.68105,1.7576358,-1.0,1.523,9.91,1.1463141220119728,False,True
313,3857,150.42786,1.758002,-1.0,1.109,9.88,0.9370663120174282,False,True
314,3862,150.62762,1.7579957,-1.0,0.948,10.31,0.9676883504533126,True,False
315,3864,150.46834,1.7583849,-1.0,0.853,9.86,0.1495270137543478,False,False
316,3875,150.42422,1.7579471,-1.0,1.261,10.12,0.4724638966069894,False,False
317,3923,150.4099,1.7584012,-1.0,1.109,10.02,1.1087002968944648,False,True
318,3924,150.38251,1.7595032,-1.0,0.817,10.13,0.6880636969463444,False,False
319,3926,150.48184,1.7596546,-1.0,0.89,9.8,0.5907304057926903,False,True
320,3945,150.41522,1.7581463,-1.0,0.928,10.69,1.310863174272544,False,False
321,3951,150.65668,1.7596937,-1.0,1.109,10.12,0.9405164849325672,True,True
322,3967,150.40456,1.7596614,-1.0,0.948,10.23,0.6590600722409383,False,True
323,3973,150.48643,1.7582349,-1.0,1.473,11.19,2.317166677597742,True,True
324,3975,150.45203,1.7593701,-1.0,1.523,11.37,1.6446059723143136,False,True
325,3976,150.45303,1.7602925,-1.0,1.449,10.86,0.3342526423342307,False,False
326,3999,150.65346,1.7600688,-1.0,1.152,11.12,1.098747528824818,False,False
327,4003,150.59676,1.7609022,-1.0,1.261,10.18,0.7306207978872828,True,True
328,4007,150.68362,1.7599876,-1.0,0.872,10.49,0.8206611346435955,False,True
329,4010,150.66859,1.7603803,-1.0,0.948,10.49,1.5028229942193652,False,True
