ID, Smass, SFR, Mass_Clumpy, UV_Clumpy, O3727, O4959, O5007, HBeta, R23
57283.0,10.52,1.228503016659257,0.0,0.0,0.9774,421.3582,-99.0,-99.0,-99.0,-2.2561434343434343
57326.0,10.06,0.9566485792052032,0.0,0.0,0.7436,-99.0,46.4558,179.7055,344.5602,0.36905394180755646
57375.0,10.43,0.3554515201265174,0.0,0.0,0.638,-99.0,-2.3533,7.2217,0.5721,-164.5369690613529
57482.0,10.1,0.4830164201441321,0.0,0.0,0.6146,-99.0,12.6112,75.2721,338.8811,-0.032804131006420864
57712.0,11.15,1.3943465968683129,0.0,1.0,0.8959,337.019,-99.0,-99.0,-99.0,-1.4042323232323233
57765.0,10.27,1.013763854733933,0.0,0.0,0.7731,340.9458,9.8736,-99.0,346.6157,0.7265089261680877
57876.0,10.84,1.5876885202796676,0.0,1.0,0.7485,1148.8877,-99.0,-99.0,510.6954,1.861946866958269
57974.0,10.43,0.3083509485867257,0.0,0.0,0.912,471.6095,-99.0,-99.0,-99.0,-2.7637323232323237
58309.0,10.77,1.2587091005698268,0.0,0.0,0.531,-99.0,69.5381,243.8772,463.9486,0.46215313506711736
58377.0,10.16,1.1673468775856355,0.0,0.0,0.845,489.8758,-99.0,-99.0,-99.0,-2.9482404040404044
58381.0,10.26,1.0710346750541515,0.0,1.0,0.7128,-99.0,178.7318,906.4953,1197.7874,0.8233740812434662
58423.0,10.72,1.0875684761617836,0.0,1.0,0.7723,185.7156,-99.0,-99.0,208.4717,-0.058925983718653444
58578.0,9.95,1.0349090733677482,0.0,0.0,0.6679,-99.0,8.5349,25.0379,41.5069,-1.576296953036724
58707.0,10.18,1.224947218777087,0.0,0.0,0.6623,1429.3287,289.4221,747.3049,1092.9667,2.256295365631908
58710.0,10.13,1.1029479680053735,0.0,1.0,0.6684,905.9025,96.334,375.825,635.7842,2.167498814849441
58899.0,10.01,1.22796379146686,0.0,0.0,0.9476,924.8728,-99.0,-99.0,-99.0,-7.342149494949495
58946.0,10.31,0.5652573434202137,0.0,0.0,0.8355,401.8898,-99.0,-99.0,-99.0,-2.059492929292929
59129.0,10.66,1.2529500691842748,0.0,0.0,0.7382,206.0261,-99.0,-99.0,-99.0,-0.08107171717171731
59163.0,10.4,0.7563317673210577,0.0,1.0,0.7128,-99.0,11.5816,51.0697,118.6918,-0.3062444077855421
